fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
2,0.69664204120636,0.702724456787109,0.759231686592102,0.764523923397064,1,1,AutoTransOp v2,validation,PC3,4
3,0.676177501678467,0.68207311630249,0.742973566055298,0.751863121986389,1,1,AutoTransOp v2,validation,PC3,4
4,0.702352225780487,0.70869392156601,0.764999508857727,0.771002173423767,1,1,AutoTransOp v2,validation,PC3,4
0,0.719913601875305,0.716544687747955,0.77250599861145,0.770043015480042,1,1,AutoTransOp v2,validation,HT29,0
1,0.718210875988007,0.714939177036285,0.771269738674164,0.766524374485016,1,1,AutoTransOp v2,validation,HT29,0
2,0.711382329463959,0.71011608839035,0.766673624515533,0.764904022216797,1,1,AutoTransOp v2,validation,HT29,0
3,0.71688187122345,0.720544457435608,0.773280739784241,0.771348893642426,1,1,AutoTransOp v2,validation,HT29,0
4,0.715167045593262,0.715876400470734,0.77195006608963,0.766271591186523,1,1,AutoTransOp v2,validation,HT29,0
0,0.725185036659241,0.71055543422699,0.77312582731247,0.765922605991364,1,1,AutoTransOp v2,validation,HT29,1
1,0.722671389579773,0.712577521800995,0.772549510002136,0.76526141166687,1,1,AutoTransOp v2,validation,HT29,1
2,0.716659188270569,0.702986657619476,0.768719911575317,0.758351147174835,1,1,AutoTransOp v2,validation,HT29,1
3,0.728051543235779,0.717529475688934,0.775047481060028,0.77047723531723,1,1,AutoTransOp v2,validation,HT29,1
4,0.722210645675659,0.71148669719696,0.775966465473175,0.76698899269104,1,1,AutoTransOp v2,validation,HT29,1
0,0.714825809001923,0.717106759548187,0.769057154655457,0.770148456096649,1,1,AutoTransOp v2,validation,HT29,2
1,0.714199006557465,0.720008254051209,0.767333090305328,0.770945250988007,1,1,AutoTransOp v2,validation,HT29,2
2,0.707883358001709,0.713387250900269,0.763043522834778,0.766388297080994,1,1,AutoTransOp v2,validation,HT29,2
3,0.718522012233734,0.721168160438538,0.772291123867035,0.773905396461487,1,1,AutoTransOp v2,validation,HT29,2
4,0.719081163406372,0.717551052570343,0.773825287818909,0.76960963010788,1,1,AutoTransOp v2,validation,HT29,2
0,0.720568478107452,0.715977191925049,0.771602928638458,0.769163250923157,1,1,AutoTransOp v2,validation,HT29,3
1,0.718928873538971,0.71368533372879,0.769712269306183,0.76720130443573,1,1,AutoTransOp v2,validation,HT29,3
2,0.714934051036835,0.709310650825501,0.7641361951828,0.765598654747009,1,1,AutoTransOp v2,validation,HT29,3
3,0.724104404449463,0.718456208705902,0.77300888299942,0.771164357662201,1,1,AutoTransOp v2,validation,HT29,3
4,0.718909621238709,0.71696549654007,0.769807934761047,0.770458102226257,1,1,AutoTransOp v2,validation,HT29,3
0,0.724813938140869,0.709503471851349,0.776888608932495,0.764553785324097,1,1,AutoTransOp v2,validation,HT29,4
1,0.722013115882874,0.71001547574997,0.774456202983856,0.763537704944611,1,1,AutoTransOp v2,validation,HT29,4
2,0.712353527545929,0.707233190536499,0.767182409763336,0.76157820224762,1,1,AutoTransOp v2,validation,HT29,4
3,0.722990274429321,0.71266096830368,0.776102125644684,0.766740441322327,1,1,AutoTransOp v2,validation,HT29,4
4,0.72147011756897,0.707855343818665,0.775753200054169,0.763880789279938,1,1,AutoTransOp v2,validation,HT29,4
0,0.684377253055573,0.683234930038452,0.752427577972412,0.7484330534935,1,1,AutoTransOp v2,validation,MCF7,0
1,0.68027925491333,0.677725911140442,0.751834392547607,0.74578183889389,1,1,AutoTransOp v2,validation,MCF7,0
2,0.680921196937561,0.68420672416687,0.74794352054596,0.746326744556427,1,1,AutoTransOp v2,validation,MCF7,0
3,0.696242690086365,0.699944794178009,0.759395658969879,0.762031018733978,1,1,AutoTransOp v2,validation,MCF7,0
4,0.688752770423889,0.686203241348267,0.756388425827026,0.751420378684998,1,1,AutoTransOp v2,validation,MCF7,0
