,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
R2A_3_gp120_CM235,0.004121994,-0.0006600784,0.0006330751,0.0007804317,0.0008769423,0.00013648029,0.00042608415,0.002904172,0.0025519547,0.0015714895,0.003929846,0.005062841,0.0052596247,0.0040507824
R2A_3_gp120_Du151,0.0023040213,0.0013574717,0.0029483777,0.0028427755,0.001230875,0.0022297143,0.0009763377,0.0024301268,0.0028228224,0.0024085308,0.0009164706,0.00073911663,-9.688116e-05,0.0002256731
R2A_3_gp120_96ZM651,0.0030595185,0.002053022,0.0006277568,0.000113792834,0.00023907611,0.0020677992,0.0017616258,0.0021745714,0.0020133893,0.00226423,0.0043304367,0.0043863654,0.0043787793,0.004026898
R2A_3_gp70_V1V2_Clade_AE,0.00011579972,0.002052593,0.0011132641,-0.0014005302,-0.0017088706,0.0009990208,0.00044517659,0.00047821403,0.00018134373,0.0003332705,0.0012489991,0.00072358985,0.0007909436,0.0003745352
R2A_3_NL4_3_integrase,0.0036250013,0.0027862801,0.0016815142,0.001687334,0.0007404458,0.0019665193,0.0021946565,0.0028714591,0.002738192,0.0024945112,0.0007636699,0.00044053985,0.00041189123,0.0006067752
R2A_3_gp120_JRCSF,0.001974158,-0.0016966334,-0.0022639132,0.00038962197,-0.0018185545,-0.0006406663,-0.00054753927,0.00023570248,0.0005688761,0.0007574592,0.0021977737,0.0036510406,0.004823685,0.0043454124
R2A_3_gp120_TRO,0.0028062756,-0.0015419447,0.00046382876,0.0044220802,0.002659379,0.00059124146,0.000886995,0.002115504,0.002703052,0.0022482155,-0.0007075507,0.0012475188,0.0014432039,0.002412216
R3A_1_gp120_ZM109F,0.0039816266,-0.00030458855,0.00031961524,0.00063624914,-0.0002509941,0.00075010804,0.0009158933,0.0025168604,0.0025369956,0.0020290243,0.0048353383,0.004952834,0.004718748,0.0033730124
R3A_1_Barouch_Boost,0.0007920144,0.0013884177,0.002768091,0.0031522627,0.0031959587,0.0019167388,0.001191767,0.0014197471,0.0017393222,0.0016051925,-0.00030813695,-0.0005438985,-0.00082268723,0.0001763649
R3A_1_gp120_CN54,0.0040722517,0.0017996655,6.2895066e-05,-3.4658937e-05,-0.0002622065,0.0001278865,0.001514924,0.0022058045,0.0017917675,0.0013672556,0.0029259964,0.003372616,0.004014304,0.0032219512
