bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b36,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.136,50,0.0833798,12.4113,"0.49,0.15,0.36",21.8697,27.4191,0.0629333,0.307057,11.98,51.9954,0,1,CMAP-000,XPR022_YAPC.311_96H:G08,ctl_untrt,YAPC,G08,XPR022_YAPC.311_96H_X1_B36|XPR022_YAPC.311_96H_X2_B36|XPR022_YAPC.311_96H_X3_B36,XPR022_YAPC.311_96H_X1_B36:G08|XPR022_YAPC.311_96H_X2_B36:G08|XPR022_YAPC.311_96H_X3_B36:G08,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2071,101,0.14625,18.811,"0.48,0.03,0.48",79.7909,69.8606,-0.157631,-0.165997,7.84,30.7206,0,1,CMAP-000,XPR011_YAPC.311_96H:H21,ctl_untrt,YAPC,H21,XPR011_YAPC.311_96H_X1_B35|XPR011_YAPC.311_96H_X2_B35|XPR011_YAPC.311_96H_X3_B35,XPR011_YAPC.311_96H_X1_B35:H21|XPR011_YAPC.311_96H_X2_B35:H21|XPR011_YAPC.311_96H_X3_B35:H21,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.0964,123,0.110088,21.5738,"0.07,0.47,0.46",51.7859,67.4108,0.00198706,0,12.87,56.3882,0,1,CMAP-000,XPR013_YAPC.311_96H:D21,ctl_untrt,YAPC,D21,XPR013_YAPC.311_96H_X1_B35|XPR013_YAPC.311_96H_X2_B35|XPR013_YAPC.311_96H_X3_B35,XPR013_YAPC.311_96H_X1_B35:D21|XPR013_YAPC.311_96H_X2_B35:D21|XPR013_YAPC.311_96H_X3_B35:D21,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2969,111,0.183576,2.57709,"0.32,0.34,0.34",4.89285,11.1357,0.282244,0.41854,14.13,61.9868,1,1,CMAP-000,XPR030_YAPC.311_96H:H17,ctl_untrt,YAPC,H17,XPR030_YAPC.311_96H_X4_B40|XPR030_YAPC.311_96H_X5_B40|XPR030_YAPC.311_96H_X6_B40,XPR030_YAPC.311_96H_X4_B40:H17|XPR030_YAPC.311_96H_X5_B40:H17|XPR030_YAPC.311_96H_X6_B40:H17,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.506,300,0.393969,0.726232,"0.29,0.34,0.38",4.3883,6.6342,0.41269,0.551124,8.93,36.5777,1,1,CMAP-000,XPR031_YAPC.311_96H:A12,ctl_untrt,YAPC,A12,XPR031_YAPC.311_96H_X4_B40|XPR031_YAPC.311_96H_X5_B40|XPR031_YAPC.311_96H_X6_B40,XPR031_YAPC.311_96H_X4_B40:A12|XPR031_YAPC.311_96H_X5_B40:A12|XPR031_YAPC.311_96H_X6_B40:A12,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2587,301,0.282184,20,"0.03,0.49,0.49",305.5,263,-0.174416,-0.125733,0,0,0,1,CMAP-000,XPR030_YAPC.311_96H:H24,ctl_untrt,YAPC,H24,XPR030_YAPC.311_96H_X4_B40|XPR030_YAPC.311_96H_X5_B40|XPR030_YAPC.311_96H_X6_B40,XPR030_YAPC.311_96H_X4_B40:H24|XPR030_YAPC.311_96H_X5_B40:H24|XPR030_YAPC.311_96H_X6_B40:H24,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.1784,117,0.146099,3.39397,"0.15,0.35,0.50",8.59788,4.25539,0.0907956,0.384411,7.84,30.7206,1,1,CMAP-000,XPR011_YAPC.311_96H:P15,ctl_untrt,YAPC,P15,XPR011_YAPC.311_96H_X1_B35|XPR011_YAPC.311_96H_X2_B35|XPR011_YAPC.311_96H_X3_B35,XPR011_YAPC.311_96H_X1_B35:P15|XPR011_YAPC.311_96H_X2_B35:P15|XPR011_YAPC.311_96H_X3_B35:P15,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.3705,111,0.205067,0.377442,"0.31,0.33,0.36",0.529101,0.13587,0.332481,0.509333,7.07,27.0169,1,1,CMAP-000,XPR023_YAPC.311_96H:A09,ctl_untrt,YAPC,A09,XPR023_YAPC.311_96H_X1_B37|XPR023_YAPC.311_96H_X2_B37|XPR023_YAPC.311_96H_X3_B37,XPR023_YAPC.311_96H_X1_B37:A09|XPR023_YAPC.311_96H_X2_B37:A09|XPR023_YAPC.311_96H_X3_B37:A09,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2309,139,0.181159,1.5528,"0.33,0.37,0.29",0.661376,0.26455,0.19767,0.478458,12.91,56.6466,1,1,CMAP-000,XPR036_YAPC.311_96H:P05,ctl_untrt,YAPC,P05,XPR036_YAPC.311_96H_X4_B40|XPR036_YAPC.311_96H_X5_B41|XPR036_YAPC.311_96H_X6_B41,XPR036_YAPC.311_96H_X4_B40:P05|XPR036_YAPC.311_96H_X5_B41:P05|XPR036_YAPC.311_96H_X6_B41:P05,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2056,228,0.218952,5.39648,"0.20,0.41,0.39",19.8407,45.11,0.0921982,0.137794,8.54,34.7115,0,1,CMAP-000,XPR012_YAPC.311_96H:P07,ctl_untrt,YAPC,P07,XPR012_YAPC.311_96H_X1_B36|XPR012_YAPC.311_96H_X2_B35|XPR012_YAPC.311_96H_X3_B35,XPR012_YAPC.311_96H_X1_B36:P07|XPR012_YAPC.311_96H_X2_B35:P07|XPR012_YAPC.311_96H_X3_B35:P07,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
