z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated,species
0.3748253,-0.1176038,0.3077487,0.17504798,0.66180885,0.097580545,0.27728608,-0.056963276,0.10641412,-0.0016709805,0.0041615665,-0.29378602,-0.36961204,0.10720823,-0.31275207,0.12773402,0.018295288,-0.025853807,0.25826168,0.15152054,0.4410247,0.37090418,0.1827985,0.3108671,-0.029803574,0.24086535,-0.012136811,0.044572484,-0.060956474,-0.1584954,-0.4745426,-0.70032656,1,1,human
0.47391626,0.28859472,0.32436436,-0.00032823088,1.1915178,0.09877715,0.36056042,-0.42496076,0.7728871,0.7826713,0.9206344,-0.58742446,-0.26332217,-0.10797191,-0.039215263,0.6183343,-0.07857597,-0.106279075,1.1508756,0.38223806,0.26482564,1.1958107,0.20274834,-0.1108964,-0.34352246,0.31423637,0.5616624,0.0036222935,0.34973508,0.040175606,-0.54796356,-0.62230545,1,1,human
-1.0171083,-1.2401667,0.21861075,0.7243058,-1.2070011,-1.1642368,-1.779179,0.28822598,-0.8582491,-0.82168835,-0.83327895,1.011855,-0.21607761,0.87803406,-0.9244589,0.37281823,0.19237314,-0.26744652,-0.52109945,-0.36459482,-0.118407205,-0.9257242,-0.99805194,0.5110857,0.16547166,0.7157386,-0.40593538,-0.8355069,-0.15269752,-0.8397751,0.033157993,0.8338113,1,1,human
0.3018102,0.2276854,0.067066774,0.09344798,0.46056595,0.015069378,0.37378994,0.23370345,0.19626501,-0.27573103,-0.09472643,-0.07154594,-0.40303022,0.027295697,-0.26995137,0.12198231,0.12646708,0.11928977,0.28035626,0.254086,0.42383417,0.09702737,0.03833886,0.49467012,-0.01105125,0.29224545,-0.2952768,0.11582475,-0.03603678,-0.07592475,-0.43545374,-0.6126928,1,1,human
-0.95959246,-1.1910746,0.21248971,0.6886273,-1.1924137,-1.1071241,-1.7258056,0.25853416,-0.8170766,-0.79487145,-0.83594245,0.9808025,-0.2125132,0.8244381,-0.88235235,0.34008455,0.17021905,-0.27437273,-0.46624184,-0.34568587,-0.08265634,-0.9046016,-0.9113931,0.48419052,0.14522861,0.6857001,-0.40682927,-0.7975834,-0.15727715,-0.81997615,-0.004403508,0.7560998,0,0,human
-1.0149186,-1.2025099,0.19574593,0.70144916,-1.1818619,-1.1583675,-1.7151097,0.29087746,-0.8813128,-0.8036379,-0.7710662,0.9829316,-0.18778501,0.8088091,-0.9048216,0.3529055,0.20790792,-0.26979837,-0.5446966,-0.3888244,-0.074084215,-0.88469076,-0.9655035,0.51266,0.1682634,0.6657824,-0.3742858,-0.8069358,-0.18338422,-0.85842717,0.05564822,0.85731614,1,0,human
0.18889378,0.52683765,-0.014101869,0.10255082,0.3515263,-0.055705167,0.3802294,0.3370169,0.45852098,-0.25939617,0.0024327158,0.13553561,-0.4255712,0.066116564,-0.059123922,0.25939107,0.24931602,0.2983995,0.5111595,0.46600667,0.31433278,0.011495742,-0.13811615,0.6572463,-0.12415864,0.31956232,-0.33928663,-0.01586361,0.19508792,0.08882958,-0.32361886,-0.6120423,1,1,human
0.3456926,0.23651628,-0.019920683,0.06851758,0.868237,0.14749199,0.46176678,0.011752009,0.22708185,0.0793808,0.24942021,-0.30000263,-0.2876918,-0.237358,-0.19499998,0.31941032,0.13617699,0.025363391,0.5378392,0.26337782,0.38887286,0.47698137,0.058526125,0.32138178,-0.19974537,0.18097429,0.11015209,0.121341884,0.087218456,-0.18684997,-0.45864955,-0.5974711,0,1,human
0.31227118,0.47999755,-0.05520277,-0.01795205,0.65891427,-0.05190618,0.52403533,0.05512427,0.31517765,0.10937176,0.24391401,-0.09963922,-0.33057436,-0.26611096,0.039722875,0.27352276,0.0982451,0.19394147,0.65603393,0.33799747,0.37063667,0.37475747,0.013500082,0.45335552,-0.2434219,0.18041232,0.037137758,0.12798087,0.08118538,0.021834303,-0.33536252,-0.5605017,1,1,human
0.32192054,0.31741005,0.04906273,0.005779034,0.9064785,0.036223747,0.578319,0.025439953,0.37197495,0.22639973,0.39257535,-0.24550162,-0.33443514,-0.19542865,-0.118231535,0.35565847,0.098577455,0.058064938,0.53670937,0.26513478,0.4084383,0.48902884,0.06861575,0.33841497,-0.17973761,0.1706395,0.109938495,0.101250626,0.072198324,-0.09744478,-0.38195333,-0.56778336,1,1,human
0.44770274,-0.0979737,0.39468133,0.22177823,0.56658024,0.27306303,-0.026787866,-0.060846116,0.588823,0.37289506,0.32816187,-0.44864517,-0.1388063,0.16717285,-0.475691,0.61275995,0.21510413,-0.2512408,0.84374994,0.44264275,0.19700646,0.65189356,0.25651255,-0.1681991,-0.1523764,0.42648003,0.04927404,-0.024643874,0.5447458,-0.17961235,-0.5679395,-0.5938476,1,1,human
0.009101534,-0.19747253,0.49411312,0.32375666,0.5891919,0.043584015,0.13516743,0.14425154,0.2543933,0.032256473,0.10840285,-0.18683462,-0.23326722,0.2259748,-0.13079858,0.4731303,0.23405094,-0.1850603,0.2215982,0.40486518,0.28485033,0.519232,0.19675957,0.5799204,-0.16122186,0.2554936,-0.10927925,0.13510044,0.44857693,-0.40097055,-0.27643168,-0.51279944,0,1,human
