"","pvalue","tvalue","logp"
"z40",0,-46.1205781221861,Inf
"z41",0,-50.0945417481499,Inf
"z42",1.47355062010664e-198,30.2784635605861,455.524173536563
"z43",0,40.3662135206048,Inf
"z44",0,119.452442764551,Inf
"z45",0,239.468338745215,Inf
"z46",1.0329319848542e-260,-34.8193219033061,598.63972283283
"z47",0,85.6119010170924,Inf
"z48",1.25722967636766e-60,16.4597113040135,137.926194948851
"z49",0,-226.679191360142,Inf
"z50",1.75136638167258e-06,-4.7807463818265,13.2551142851592
"z51",0,110.62916115732,Inf
"z52",0,-118.191427699085,Inf
"z53",6.03237546941955e-157,26.8409026102863,359.70871872504
"z54",0,71.7594611237176,Inf
"z55",0,-60.028688111927,Inf
"z56",4.99361904832838e-32,-11.7915049146139,72.0745620687341
"z57",1.57668266252131e-88,-20.0094688380489,202.172165124329
"z58",0,52.7575459817956,Inf
"z59",0,-108.606675187604,Inf
"z60",5.67657732086883e-58,16.0823418666475,131.813586926903
"z61",0,-62.202628992857,Inf
"z62",9.45032024850191e-08,5.33785747525789,16.1746321142906
"z63",7.70520540697569e-262,34.896589594232,601.235398237104
"z64",0.953276448730131,0.0585890713643368,0.0478503347808219
"z65",0,182.628296283123,Inf
"z66",0,60.7892429923789,Inf
"z67",6.14789058035872e-240,-33.3657802687103,550.804313290652
"z68",1.95540916658735e-140,-25.354988111607,321.691313555256
"z69",8.57761186057629e-183,29.0215295643198,419.223916481082
"z70",8.95727760319605e-28,-10.9325903514099,62.2799162619439
"z71",0,-79.1173420904818,Inf
"z72",0,-169.348863801806,Inf
"z73",1.00334185805034e-277,-35.9691149247415,637.812734472898
"z74",7.93877910702075e-312,38.1778739210375,716.334789515565
"z75",0,50.9352649970665,Inf
"z76",0,128.703966825561,Inf
"z77",0,123.346681481231,Inf
"z78",4.83717203356264e-226,32.3597651159078,518.807900757276
"z79",0,59.2220817930019,Inf
"z80",0,-61.4225076518848,Inf
"z81",0,-172.064338853192,Inf
"z82",8.43496750970576e-87,-19.8075878053093,198.192517226334
"z83",0,-79.4096132708861,Inf
"z84",0,-39.1136759992703,Inf
"z85",1.40786042830534e-132,24.6178091102326,303.599161150016
"z86",7.56555086816406e-82,-19.2176849985159,186.788372462923
"z87",0,236.861796320956,Inf
"z88",0,-47.6125915547491,Inf
"z89",0,-48.7380531094408,Inf
"z90",1.73275441034586e-142,25.5441981184082,326.417370918055
"z91",4.43095901408336e-188,29.4486889975523,431.397381440518
"z92",1.8390208841216e-46,14.3345182506173,105.30968097593
"z93",3.2252632588776e-07,5.1105204302562,14.9470810733825
"z94",9.36872056078214e-14,7.45232451964163,29.9988147613309
"z95",0,-94.8671492623661,Inf
"z96",1.12184370337568e-177,28.6023920245796,407.442587964353
"z97",0,53.4658796883286,Inf
"z98",9.04021304774858e-279,36.0386566214106,640.219558203984
"z99",2.73894653330255e-279,36.0731129486312,641.413667575766
"z100",8.38579669576581e-315,38.365123678333,723.18776488796
"z101",0,-41.1581283253123,Inf
"z102",0.314367962651297,1.00604307464068,1.15719112358331
"z103",0,43.123387715332,Inf
"z104",0,-226.317700378281,Inf
"z105",0,74.2041352630965,Inf
"z106",0,168.192018240827,Inf
"z107",0,51.0494168037447,Inf
"z108",3.29746678592892e-59,16.2590929509484,134.659365953591
"z109",0,47.0977988648711,Inf
"z110",0,-53.3750531373163,Inf
"z111",0,-65.4654828097736,Inf
"z112",0,57.417821539134,Inf
"z113",4.04030905875999e-13,7.25677849766982,28.5372850201824
"z114",4.15017555093771e-147,-25.9653285780422,337.056858035346
"z115",3.63443565242137e-34,12.2008884592226,76.9974393166695
"z116",0,-91.8735873239742,Inf
"z117",3.70621276943526e-41,-13.4547296610226,93.0959782743887
"z118",0,125.280194883919,Inf
"z119",4.48778123199039e-283,-36.3237214135709,650.130222895383
"z120",5.59236558980336e-178,28.6273201796346,408.138744172856
"z121",0,109.265763430461,Inf
"z122",0,63.7818846545001,Inf
"z123",5.52967611514827e-241,-33.4403679144078,553.212878166435
"z124",0,-284.765965265393,Inf
"z125",7.53389605066204e-81,-19.0966542663667,184.489980220707
"z126",0,41.8661920548157,Inf
"z127",0,72.6732093466992,Inf
"z128",0,94.6835522170994,Inf
"z129",0,208.864892579615,Inf
