Fold,lrt_counts,latent_var,lrt_importance
fold 8,484,z136,Important
fold 9,495,z136,Important
fold 0,494,z137,Important
fold 1,485,z137,Important
fold 2,492,z137,Important
fold 3,489,z137,Important
fold 4,477,z137,Important
fold 5,485,z137,Important
fold 6,488,z137,Important
fold 7,480,z137,Important
fold 8,484,z137,Important
fold 9,495,z137,Important
fold 0,494,z138,Important
fold 1,485,z138,Important
fold 2,492,z138,Important
fold 3,489,z138,Important
fold 4,477,z138,Important
fold 5,485,z138,Important
fold 6,488,z138,Important
fold 7,480,z138,Important
fold 8,484,z138,Important
fold 9,495,z138,Important
fold 0,494,z139,Important
fold 1,485,z139,Important
fold 2,492,z139,Important
fold 3,489,z139,Important
fold 4,477,z139,Important
fold 5,485,z139,Important
fold 6,488,z139,Important
fold 7,480,z139,Important
fold 8,484,z139,Important
fold 9,495,z139,Important
fold 0,494,z14,Important
fold 1,485,z14,Important
fold 2,492,z14,Important
fold 3,489,z14,Important
fold 4,477,z14,Important
fold 5,485,z14,Important
fold 6,488,z14,Important
fold 7,480,z14,Important
fold 8,484,z14,Important
fold 9,495,z14,Important
fold 0,494,z140,Important
fold 1,485,z140,Important
fold 2,492,z140,Important
fold 3,489,z140,Important
fold 4,477,z140,Important
fold 5,485,z140,Important
fold 6,488,z140,Important
fold 7,480,z140,Important
fold 8,484,z140,Important
fold 0,494,z141,Important
fold 1,485,z141,Important
fold 2,492,z141,Important
fold 3,489,z141,Important
fold 4,477,z141,Important
fold 5,485,z141,Important
fold 6,488,z141,Important
fold 7,480,z141,Important
fold 8,484,z141,Important
fold 9,495,z141,Important
fold 0,494,z142,Important
fold 1,485,z142,Important
fold 2,492,z142,Important
fold 3,489,z142,Important
fold 4,477,z142,Important
fold 5,485,z142,Important
fold 6,488,z142,Important
fold 7,480,z142,Important
fold 9,495,z142,Important
fold 0,494,z143,Important
fold 1,485,z143,Important
fold 2,492,z143,Important
fold 3,489,z143,Important
fold 4,477,z143,Important
fold 5,485,z143,Important
fold 6,488,z143,Important
fold 7,480,z143,Important
