z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated,species
0.5485503,0.4260948,-0.9985982,-0.3016655,-0.58681923,-0.014505099,-0.96540177,-0.1866689,0.25322944,-0.09162214,0.06411107,-1.1871737,0.27810732,-0.17106405,-0.05703589,-0.28503352,0.30890253,-1.3377367,-0.1276316,0.30650342,0.7906725,0.59735215,-0.45357564,-0.21166857,-1.0693599,0.24422602,0.33037564,0.071097545,-0.16924337,-0.5149974,-0.56534904,-0.14104183,1,1,human
0.6509121,0.116529144,-1.0427992,-0.42612392,0.13082568,-1.2830434,-0.66055465,-0.648041,0.52012354,-0.16821794,1.0616364,-1.354607,0.16763961,-0.9432185,-0.4575284,0.15179764,0.0652373,-0.94559914,-0.15607427,0.43699223,0.59644455,0.099234946,0.32258344,-0.86891407,-1.0902321,0.77035123,0.5187468,-0.7103773,-0.29822746,-0.5364163,-1.2077581,-0.044118438,1,1,human
0.15828645,-0.35211986,-1.0335636,-0.37588215,0.09807749,-0.95236593,-0.4901416,-0.07844965,-0.0048515103,-0.37644234,0.27263787,-0.54969734,0.45802364,-0.71306324,-0.31086415,-0.3571369,0.16353345,-0.59021676,-0.19982807,0.79850465,0.5954519,0.3362331,-0.07595021,-0.6346706,-0.7817965,0.71241844,0.4792808,-0.5638832,-0.3427666,-0.9337442,-1.0945398,-0.5416557,1,1,human
1.2613715,-0.41259322,-1.1354313,0.27211717,0.45631436,-1.6774044,-1.0149199,-0.23401043,0.8576786,0.8728379,1.6321572,-0.62606776,-0.11994839,-1.3207694,-0.60849303,0.62742835,0.63984996,-0.7654045,0.331465,-0.3036775,1.05147,0.9747784,0.3123523,-1.344818,-0.8303143,0.7892517,0.61032504,-0.8232527,-0.18823083,-1.1264963,-0.8523926,-0.48499015,1,1,human
1.3029448,-0.8875156,-0.8772805,0.18584368,0.9282401,-1.8403805,-0.57863945,-0.062787585,1.3670311,1.2498287,1.0143222,0.76249117,0.23551823,-0.8622279,-0.0027751906,0.8209867,-0.40531334,-0.6041532,0.29221112,-0.42126757,1.4852067,1.0081544,0.740672,-2.3853283,0.02389505,1.0483017,0.7494596,-0.5734921,0.43837842,-1.2438773,-0.8986072,-0.82187814,0,1,human
-0.8528224,-0.08409524,-0.34353295,-1.2109879,-2.7982633,0.6869162,-0.66240287,1.2219307,-0.9403513,0.5120548,-0.8985891,-0.6609823,1.315582,0.40225163,-0.4893943,-3.3679788,2.0876355,-1.328505,1.2509806,3.1597805,1.1203026,0.47047085,-0.69361496,2.4553413,-0.89299905,1.6517715,-0.51600903,-0.28246292,-1.421433,-0.7887333,1.4566832,0.40310985,1,1,human
-1.8741294,1.3045963,1.8352531,-0.16591336,-3.1919563,3.5403016,-0.5095277,0.25791657,-2.951493,1.6944201,-3.08976,1.1515305,-0.08558836,0.52152795,-0.8290407,-2.7272565,2.256769,0.35392147,-1.4360685,-0.6939764,0.7932785,-1.2902497,-1.1232233,4.034518,-0.7057879,-0.5973744,0.7496454,1.3681244,-1.5775648,1.4918394,5.428922,1.5719988,0,0,human
-0.6642256,-0.24772374,-0.8985384,-0.4902394,-0.85918313,-0.65252286,-0.34372976,-0.16097419,-1.5901419,-0.78320456,-0.5762169,-0.04402125,0.72105944,-0.8833905,-0.0758987,-1.7814907,0.5326018,-0.3438943,-0.8858619,1.401014,0.5140568,-0.12168052,-0.2602478,1.062512,-1.4908607,0.9587199,0.24333462,-0.6718055,-1.5517532,-0.21296057,0.49754128,-0.15333857,0,1,human
0.103999116,-0.16437499,-0.9899327,-0.47519726,-0.1109927,-1.2616364,-0.39668423,-0.33545548,-0.014745982,-0.33443156,0.5473843,-0.89792186,0.5712847,-0.8514897,-0.24060634,-0.34888917,0.21793063,-0.7799553,-0.20736662,0.97869295,0.610648,0.16577166,0.15064771,-0.36533827,-0.9566059,0.839806,0.24252954,-0.55536574,-0.54562414,-0.6962052,-1.032857,-0.08168268,1,1,human
0.10340099,-0.29374495,-1.2016903,-0.3657215,-0.1613011,-1.2786788,-0.5715956,-0.3577294,-0.55602974,-0.26522845,0.9593663,-0.7546865,0.2925234,-1.1410358,-0.22790192,-0.8145684,0.38756603,-0.39646062,-0.1787019,0.968412,0.41588122,0.15146504,0.13709399,0.3010594,-1.5534438,1.0310118,0.22111867,-1.2642981,-1.2880883,-0.37801766,-0.2808289,-0.68418264,1,1,human
