z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated,species
-1.0147994,0.039546434,0.04390819,0.024731532,0.52358,0.7574849,0.013305041,-0.06610872,-0.013666547,0.019393405,-0.011033833,-0.10582205,0.040538654,0.020668361,-0.048639692,-0.0076251673,-0.016985474,0.011117453,-0.00092689536,-0.06744161,-0.93041825,0.08193073,0.3063826,-0.035300422,-0.045649074,-0.0028070912,-0.13217197,-0.09379229,0.01235926,-0.041042447,0.020453727,-0.016828144,1,1,human
-0.97058165,0.012659847,-0.045879703,0.035713043,0.48752022,0.7154669,0.051362455,0.04434182,0.01519255,0.055834286,-0.06737931,-0.026402961,-0.01682759,-0.14186172,-0.00936133,0.004798501,-0.01342351,0.066627726,0.02420126,0.06942287,-0.90502423,-0.01798575,0.24297726,0.03582944,-0.020711778,-0.007813485,-0.17788953,0.1233305,-0.08715711,0.006407775,-0.0014545715,-0.0080037,1,1,human
-1.0905155,0.067737386,-0.058823947,-0.055308327,0.5666039,0.7705142,0.0028715709,0.008369891,-0.0067745643,0.08928373,0.06511983,0.00929655,0.007417597,0.014412565,0.059291065,-0.0059331916,-0.056263823,-0.10562565,-0.019875567,0.018511295,-0.9673832,0.039389685,0.321428,-0.018492017,-0.029942656,-0.05126227,-0.12979262,0.04990965,0.008796252,-0.030017193,-0.010281152,0.10064431,1,1,human
-0.9972494,0.029531037,-0.022139888,0.030343091,0.50693655,0.76065713,0.039442625,-0.014872062,-0.03612762,0.04377308,-0.038432416,-0.029183475,-0.0069380607,-0.07432654,0.0015184522,-0.009644585,0.038688805,0.01716153,-0.020183554,-0.019075513,-0.9477808,0.005889109,0.2992456,0.057473514,-0.029596021,-0.019507468,-0.19149579,0.017950248,0.022981064,-0.010344098,0.004881493,-0.0073294896,1,1,human
-1.0591316,0.0056028245,0.029352875,0.026404027,0.5677018,0.7589794,0.03734292,-0.001976862,0.083264895,0.0294035,0.009909908,-0.029927664,0.075889915,-0.01000915,-0.018140508,-0.017875673,-0.017568456,-0.016126407,-0.031917367,-0.044524506,-0.9428236,-0.004615915,0.3174009,-0.035030205,-0.03800275,-0.041639935,-0.15045665,-0.0007874496,-0.009519414,-0.01430285,-0.026685668,0.046056557,1,1,human
-1.0132785,0.09150578,-0.11465024,0.020872606,0.5177771,0.71306187,-0.0030622827,0.038414866,0.03330163,0.042287085,0.0119685475,-0.06977297,0.0667274,0.012437759,0.021770874,-0.02711168,0.019356752,-0.09838925,-0.04884659,-0.029123405,-0.88621587,-0.06004873,0.2842952,0.006585399,-0.07629803,-0.073967636,-0.16770041,0.038262337,0.0056295684,0.015751317,-0.09315401,0.074257635,1,1,human
-1.0152134,-0.090825535,-0.0422527,-0.06427074,0.54888827,0.7722739,-0.07025034,0.023081973,0.061736517,-0.1019603,0.0123426085,-0.066917785,-0.0841052,0.096718006,-0.085205056,0.06560743,-0.0063771573,0.03276734,0.08763716,-0.01480547,-0.9614754,0.026780196,0.2654137,-0.12599255,0.03978787,0.09960816,-0.14063008,-0.065981455,0.012835824,-0.012294247,-0.0073545487,-0.093582556,1,1,human
-1.0211776,-0.0028287426,0.04869118,-0.00074711366,0.54235315,0.7584277,0.048598707,-0.02767632,0.023702191,0.06253959,-0.010212577,0.009537286,-0.013870673,-0.061675094,0.023002384,-0.017930264,-0.036166523,0.04013957,-0.02399192,-0.03680746,-0.9500246,0.027375001,0.3054108,-0.023859065,-0.006312626,-0.020513933,-0.15124601,-0.009638723,-0.0015320268,-0.012477895,0.030176615,0.026943933,1,1,human
-1.0085311,-0.087720506,-0.041691355,-0.060426913,0.5472029,0.7725062,-0.07110974,0.021182595,0.072550125,-0.09532504,0.008923038,-0.07001743,-0.078339756,0.104732774,-0.07773284,0.062125493,-0.0015057549,0.033497784,0.0720638,0.011839539,-0.9556723,0.04036483,0.2693582,-0.11897283,0.041907977,0.09256229,-0.13126624,-0.08684149,0.0044677746,-0.015813757,-0.010666345,-0.080795296,0,0,human
-1.0191288,0.0009063745,-0.010282407,0.020700563,0.5407815,0.76282775,0.04763099,-0.025959477,-0.01800753,0.060851686,-0.025484737,0.06699365,-0.087375455,-0.04845389,0.0406822,-0.010665852,-0.038048197,0.004580119,-0.01719972,-0.010976275,-0.9570764,0.03950848,0.30223572,-0.019643538,-0.05394457,0.009390612,-0.16060476,-0.017432125,-0.017152317,-0.025522085,0.04064154,0.017300015,1,1,human
-1.0179529,0.0010191954,0.015887061,-0.006954801,0.52085274,0.7617281,0.059277717,0.014329234,0.046917934,0.04555361,-0.044573147,-0.04885882,0.0025603194,-0.079848,0.015084349,-0.012753999,-0.01336991,0.08972042,-0.025708167,-0.030891946,-0.9388851,-0.032120146,0.2783853,-0.018383201,-0.0063509834,-0.042831063,-0.16721898,0.022362795,-0.022063771,0.008940061,-0.0043178736,0.029087935,0,1,human
