"","SKBR3","NCIH1975","HT29","MCF7","NCIH508","A549","HA1E","NCIH2073","PC3","NCIH596","U2OS","HEPG2","A375","HCC515","VCAP"
"SH3BP5",3.34340782229781,4.00090140274153,0.422233000683048,6.90231481249263,0.863938450423971,2.9297909977186,4.54039930563062,2.10097764772482,2.99819550315325,3.65191274464578,5.90737141382356,0.20163386116965,3.45680614923047,1.799087306074,2.83390207666916
"PIGB",3.00898878322725,3.68032435684402,3.611172380044,3.62293035092018,3.85199883711245,4.24184018356467,3.75274859140713,2.93168305705981,3.48155728070859,3.65420637794429,2.73552217729654,2.89141918684608,3.81762325751143,4.63981097771678,3.08406426478847
"PSMF1",7.17522517287456,7.64161827763104,6.1753249891849,6.23112515787905,6.834407841807,6.96416756068177,6.34624777408278,6.39814511650441,6.91372717300518,7.01491315812492,6.53449743373817,7.26931372634803,6.02856915219677,6.37086174008529,6.36439733732132
"SPTLC2",4.89190518821193,4.66618848987278,4.40122086216022,4.44625622988956,3.29278174922785,4.15946772926677,5.57682443127748,3.39094277280254,3.41683974191283,3.9136075118231,3.65535182861255,2.71369581484336,3.18745105402733,3.57046293102604,3.37573453858316
"TBPL1",4.78450398292957,4.91695427895322,4.62585493136806,4.15623479785027,4.69710657447698,4.52105073690096,5.61735726159132,3.97177344719337,4.07724299893246,4.38818953715608,5.72519581722666,4.51475349843975,5.39197388306029,4.03298241669943,5.67440415393769
"BAG3",5.08151006812092,5.48639259427596,4.25550073314839,6.611172380044,2.67581593117227,5.47605759567754,5.73957811204805,4.76022094646651,5.30012372456901,4.9986468390058,3.88264304936184,3.98367769469807,5.76553474636298,3.78868571061353,3.13422093976063
"POLR1C",5.13422093976063,5.7457751494858,5.73281187208294,5.84473714406068,5.87823487911234,5.49121175600309,4.91647664443772,5.15177765473205,5.81864608282254,5.47248777146274,5.38439523838807,5.25134038278862,5.70487196445635,5.91886323727459,6.35173432259158
"SPAG7",4.76341157447001,5.70901486490327,4.70431867776083,6.41683974191283,4.77082904603249,5.7045953476324,6.19416586852982,5.02989454966334,5.20320115631661,6.09761079662642,5.32445060465607,5.82400405093315,6.13545278418517,5.54627713209007,4.69320814891002
"FEZ2",4.37920505996061,5.34801990922869,4.37503943134692,4.34056226902641,4.63343121035563,6.25512301484779,5.75141016006437,4.42088657497553,6.09254574154357,5.4870360800319,4.83491342970104,4.60169651648096,5.02901108665907,5.02724253597374,3.73876783680019
"IKBKE",3.83693401132109,2.71808758396052,2.67807190511264,1.22650852980868,2.50589092972996,2.61588707391606,3.11769504266975,1.75274859140713,3.09085343045111,3.74523733212975,2.67581593117227,1.92599941855622,2.92789645372882,2.30742852519225,0.6959938131099
"MTFR1",4.57470704641555,5.56285295958392,4.52919626799939,5.27835652801072,4.07980475463526,5.00135189299996,4.57167680997093,4.61235249875266,4.27426166125705,4.50207595604579,4.43429461795993,4.51159454153741,4.64327899631198,4.38474058729238,4.87970576628229
"HS2ST1",3.40871186102943,3.77610398807316,4.1554254317472,3.20163386116965,3.02502879449152,3.8923910259134,4.44824022521607,2.36176835941915,3.44757919654888,4.82017896241519,4.20867331962947,4.68873986801449,3.30451104180995,3.63575439127776,3.18428029441938
"IPO13",4.53543091487128,3.95512678126137,3.22032995487956,3.50716034911752,3.15704371014558,3.13257684267001,3.83592407425437,3.87184364850932,4.10265813136374,4.50652577904312,4.05658352836637,3.18269229751619,4.33342373372519,4.15055967657538,4.39574832817903
"VGLL4",4.00450139223494,4.49249415167943,3.73226919950145,4.68985823631925,4.35755200461808,3.30742852519225,4.65019012349677,3.69041709553247,3.72027846523333,4.29865831556452,4.52544250601812,3.74953426766926,4.92409988564074,4.4154882710497,4.55581615506164
"NUP93",5.42928119333566,6.455984709226,5.61412086878925,4.89772447021644,4.74953426766926,6.30067286942404,7.03044643943744,5.13051908302734,5.48026512205446,5.63430284166251,6.7273759385949,5.79025073883523,6.1108225740478,5.31542131594578,5.64299031296116
"UBE3C",5.10517519226548,5.73254056130812,5.68985823631925,5.06522762277562,4.89820835250872,5.46858331700683,5.52010790163755,4.88557436437143,5.1243281350022,4.6876206320849,3.90496571868403,4.31903981556254,5.63923216324928,4.70542503904273,6.16208916202821
"EDEM1",4.09592441999854,3.85996954822103,2.86789646399265,3.82171021503467,3.13914201914569,3.95977015521147,4.47443604325227,3.42088657497553,3.58135124716878,4.31831684133498,4.32192809488736,3.50207595604579,4.64731450954714,3.93073733756289,3.96993327469786
"TRAM2",3.13586316536868,4.13010717865883,1.98913900736823,3.12598165385472,2.69376571221778,3.79181407116183,6.47670570666818,3.29425313644451,3.09761079662642,4.06091204958787,5.29939120612683,5.13422093976063,4.39917109381982,3.21412480535285,2.67581593117227
"CEP57",4.52042224852645,4.81455042346181,5.0759604132434,3.37155886261196,4.49825086752783,4.12845838414693,5.27724089833207,3.42088657497553,4.5385381636298,4.99412711400313,4.97177344719337,4.25927248703759,4.61823865559545,4.16108148227718,5.66277517193778
"KIAA0100",7.33136485049545,5.76818432477693,6.13688860790307,6.03165985430805,5.79285535236249,5.86443379636562,5.75033852024471,5.58526303088387,5.12556845177803,5.94883442557869,6.16269343221124,4.69655030107857,5.9408714781892,6.077029313819,6.41396635150775
"HERPUD1",7.79025073883523,5.66732447027863,5.52450253744916,5.30742852519225,6.17072627613155,5.6839771069756,6.17492568250068,4.29130885982897,4.68594014844598,6.70777324346704,4.85947266685194,6.4615613000019,5.33019983285091,5.69849632031307,5.83061027435791
"KIAA0355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP6NL",3.79285535236249,3.22496636500027,3.43162295971329,3.18745105402733,2.81762325751143,3.36597242759338,3.72574115650395,2.26303440583379,2.55581615506164,2.90689059560852,4.18189764310839,3.46597446450407,3.14241343787374,3.11103131238874,2.4276061727819
"CCP110",3.18586654531133,3.74523733212975,3.0686708106651,3.21723071622067,2.39780296186249,3.58976348698498,3.92789645372882,3.67919857056692,2.03913839390696,4.47702965301306,3.83491342970104,2.97452931248388,4.14893410452634,3.0686708106651,2.65306001710456
"MLEC",5.84071499114108,6.28743535550644,7.4594316186373,6.59320435406329,7.12814902528633,6.96613048992893,6.61882595258744,5.93569546303184,6.74025299396188,6.14323013477689,6.39489136644259,6.31052190036932,6.53698537579194,6.22129710316334,7.36772051340145
"TATDN2",4.19298316997399,4.19455988602261,3.605257262939,4.65363331138625,3.75274859140713,4.4995270242151,4.67638025546692,3.47118746038699,4.27351588970212,3.49569516262407,4.54473265593262,4.15623479785027,4.2349610948395,3.98093926608551,5.08915913191124
"MRPL19",5.20515788392009,5.55090066464752,5.37190729759515,5.36141746678921,4.63981097771678,6.55704241526372,5.42592920520858,4.82680268428583,5.46237957184102,4.89044669267991,5.67976157351685,6.05093696522523,5.65248649491816,4.9174317553901,5.22342254993494
"SCRN1",5.24526746651951,5.97636363573276,4.21256933885081,5.62058641045188,1.86789646399265,5.1197711619529,6.29865831556452,5.63343121035563,4.87970576628229,7.21587270290367,6.1106138055009,4.74200621086674,6.25001411501037,5.46074256378964,1.51601514700366
"EFCAB14",5.08023127201926,4.39848719001897,4.48284828306847,4.3305584000308,4.25247621413522,4.08576455377831,5.22881869049588,4.21412480535285,4.08406426478847,4.81198471935167,4.07124781946144,2.78659636189081,3.95046841415012,5.11727946005392,4.63401235640212
"KEAP1",5.16269343221124,6.47329987114132,5.18824265626441,5.57682443127748,4.45154083301783,5.3684191550814,5.64932804098478,5.69738463076402,5.59066189596526,6.24317398347295,5.73795710621359,5.38784501296558,5.71945727459875,5.00629802390037,5.15502057835857
"MELK",4.84649331596456,5.55979769575487,4.38059093426592,4.3547342399706,3.36176835941915,5.86220339905322,6.55688918972687,4.18903382439002,4.58796498888268,5.3547342399706,6.25701061820602,4.30231905094883,5.47702965301306,4.52669484554198,5.62760683812965
"PLEKHM1",2.58496250072116,4.21412480535285,3.8011586560937,2.94860084749336,5.0866139474095,2.89530262133331,3.65306001710456,2.55826763405574,3.18586654531133,3.98458935036246,3.43295940727611,2.85399564717639,3.57288966842058,2.92029330021101,3.17791779219584
"C2CD5",3.46074256378964,3.59693514238723,4.11103131238874,3.54473265593262,4.03298241669943,4.01970191444255,4.45746296464855,4.14893410452634,3.09254574154357,3.41278152533848,4.16912328147676,3.31324585178756,3.92694824794977,3.95326523901484,4.43028527297778
"KIAA0753",2.13750352374994,4.16832111573972,3.08915913191124,3.17472598770613,2.76341157447001,3.62410089462811,3.21878116778407,2.16992500144231,1.99276843076892,3.41006969175638,3.12928301694497,2.44625622988956,3.64616265715789,2.33628338786443,2.50589092972996
"C2CD2L",3.95233356636969,2.22958792274065,3.4369613378336,3.57410150808939,3.09761079662642,1.58496250072116,2.79493566280354,3.09254574154357,3.32048467801769,3.52732060787705,1.77399632511117,1.9560566524124,3.64270157183323,2.15704371014558,3.62175885670973
"TOMM70",4.92314918047231,5.56894414465471,5.34269695998193,5.3305584000308,5.50811168119346,5.55397480823747,5.31034012061215,4.53791724903408,5.09169983413681,5.41515020542639,5.34234139743155,4.83187724119167,5.64904056563445,5.03033607837096,5.17432651517391
"WASHC5",6.2137360959228,5.2637856138908,5.93451650158608,5.63052196347164,4.35402893805439,5.43162295971329,5.18308946064076,3.72465027173297,4.90833256978243,4.68818035858693,5.49281457256712,3.31179371775365,4.72628628972067,4.53169336086147,4.58436125251871
"KLHL21",3.20789285164133,4.01881218574282,3.62877359520165,2.75488750216347,2.21101219348551,2.4541758931858,3.82680268428583,3.70265754339091,4.17552460108987,4.00539998774259,2.4541758931858,4.14893410452634,5.19298316997399,2.48026512205446,3.45285896471381
