fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
3,0.503152668476105,0.508299291133881,0.749234259128571,0.745764970779419,AutoTransOp v1,validation,PC3,3
4,0.507608234882355,0.519853293895721,0.768501996994019,0.768289506435394,AutoTransOp v1,validation,PC3,3
0,0.000611067633144558,-0.0099193137139082,0.33078721165657,0.32613530755043,shuffled,validation,PC3,3
1,0.00839308928698301,0.00213543325662613,0.328810542821884,0.331275105476379,shuffled,validation,PC3,3
2,-0.00795120187103748,-0.0112127251923084,0.32203009724617,0.318621724843979,shuffled,validation,PC3,3
3,-0.00205437536351383,0.00264743831939995,0.323346078395844,0.318975865840912,shuffled,validation,PC3,3
4,0.0024003132712096,-0.000556048529688269,0.325886160135269,0.327307343482971,shuffled,validation,PC3,3
0,0.526175260543823,0.53546279668808,0.755854785442352,0.758745849132538,AutoTransOp v1,validation,PC3,4
1,0.510676681995392,0.523807406425476,0.757753312587738,0.764532387256622,AutoTransOp v1,validation,PC3,4
2,0.527059495449066,0.527926862239838,0.760312378406525,0.764851212501526,AutoTransOp v1,validation,PC3,4
3,0.509024918079376,0.516813516616821,0.741305887699127,0.751709222793579,AutoTransOp v1,validation,PC3,4
4,0.519811987876892,0.532822191715241,0.765587687492371,0.771070063114166,AutoTransOp v1,validation,PC3,4
0,0.000429534207796678,0.00777396559715271,0.326973497867584,0.328937262296677,shuffled,validation,PC3,4
1,-0.000519814435392618,-0.00550806242972612,0.329700946807861,0.319538593292236,shuffled,validation,PC3,4
2,-0.00370847037993372,-0.00300163310021162,0.32807070016861,0.322698175907135,shuffled,validation,PC3,4
3,0.00109433371108025,0.00380817544646561,0.31406757235527,0.324419468641281,shuffled,validation,PC3,4
4,-0.01104486733675,-0.00688032247126102,0.327303230762482,0.326488226652145,shuffled,validation,PC3,4
0,0.553378462791443,0.55700820684433,0.770917057991028,0.767898201942444,AutoTransOp v1,validation,HT29,0
1,0.542974233627319,0.529645204544067,0.769166052341461,0.764116823673248,AutoTransOp v1,validation,HT29,0
2,0.549227297306061,0.562845706939697,0.764260053634644,0.759587049484253,AutoTransOp v1,validation,HT29,0
3,0.575896620750427,0.575649619102478,0.773800492286682,0.771144092082977,AutoTransOp v1,validation,HT29,0
4,0.566178560256958,0.573492109775543,0.773521244525909,0.767714083194733,AutoTransOp v1,validation,HT29,0
0,0.00391720281913877,0.000927769055124372,0.304430246353149,0.305292099714279,shuffled,validation,HT29,0
1,0.00144371541682631,0.00250377412885427,0.306856513023376,0.304238766431808,shuffled,validation,HT29,0
2,0.00969111360609531,0.00824785325676203,0.308420121669769,0.31059855222702,shuffled,validation,HT29,0
3,0.00167570181656629,-0.0111280530691147,0.304023951292038,0.309445679187775,shuffled,validation,HT29,0
4,-0.00902427732944489,0.00878620706498623,0.318268567323685,0.302202761173248,shuffled,validation,HT29,0
0,0.57975435256958,0.566071748733521,0.77481210231781,0.764766454696655,AutoTransOp v1,validation,HT29,1
1,0.573970079421997,0.551534295082092,0.767255067825317,0.761413812637329,AutoTransOp v1,validation,HT29,1
2,0.573428511619568,0.553086459636688,0.765826463699341,0.75750732421875,AutoTransOp v1,validation,HT29,1
3,0.568698227405548,0.565349638462067,0.774524509906769,0.768223166465759,AutoTransOp v1,validation,HT29,1
4,0.568596243858337,0.55259495973587,0.774645030498505,0.766941905021668,AutoTransOp v1,validation,HT29,1
0,-0.00735217751935124,0.00432388996705413,0.309748977422714,0.304771065711975,shuffled,validation,HT29,1
1,0.00636849831789732,-0.000795970670878887,0.31155851483345,0.312825262546539,shuffled,validation,HT29,1
2,-0.000176812725840136,-0.00161573092918843,0.311921656131744,0.307609438896179,shuffled,validation,HT29,1
3,-0.000331828428898007,-3.38412974087987e-05,0.311828553676605,0.307997673749924,shuffled,validation,HT29,1
4,-0.00197720900177956,-7.92380960774608e-05,0.313977807760239,0.311978727579117,shuffled,validation,HT29,1
0,0.564491450786591,0.564963757991791,0.767074346542358,0.769216358661652,AutoTransOp v1,validation,HT29,2
1,0.561295688152313,0.574842214584351,0.766776204109192,0.769665539264679,AutoTransOp v1,validation,HT29,2
2,0.558399498462677,0.56273490190506,0.760305047035217,0.763633906841278,AutoTransOp v1,validation,HT29,2
3,0.564767301082611,0.582845628261566,0.771413087844849,0.772327661514282,AutoTransOp v1,validation,HT29,2
4,0.553063273429871,0.549984276294708,0.77370673418045,0.768411576747894,AutoTransOp v1,validation,HT29,2
